SOPID,StepNumber,StepTitle,StepOrder,StepSummary,FormsReferenced,ResponsibleRole
EP-01,8.1,General Requirements,1,Intermediate checks and calibration of balances shall be performed under monitored environmental conditions which represent the operational working conditions (normal conditions of use).,,
EP-01,8.2,Preparation before verification,2,"Visually inspect the balance (identification, labeling, contamination, damage) in order to ensure the condition of the instrument is suitable.",,
EP-01,8.3,Verification of Repeatability,3,8.3.1 The test is performed by reading the values of repeated weighing of at least one weight in a range between 50% of maximum capacity or the maximum operational range (80% of maximum capacity is sufficient).,,
EP-01,8.4,Verification of Accuracy,4,"8.4.1 Accuracy of a balance is satisfactory if its weighing value, when tested with a suitable weight(s), is within 0.10% of the test weight value or the maximum permissible error of the weight (from calibration certificate).",FM EP01.01,
EP-01,8.5,Verification of Eccentricity,5,8.5.1 Place a test weight equal to approximately one-third of the maximum capacity of the balance on the center of the weighing pan and record the reading.,FM EP01.01,
EP-01,8.6,Usage,6,8.6.1 Make sure the equipment is verified and clean before utilizing the balances.,FM EP01.02,
EP-01,8.7,Maintenance,7,The maintenance is performed by a specialist vendor.,FM EP01.01; FM EP01.02,
EP-02,8.1,General Requirements,1,The test (intermediate check) is carried out by determining the volume which is dispensed into a container (weighing vessel).,FM EP02.01,
EP-02,8.2,Use of Micropipettes,2,8.2.1 Make sure that the pipette is in good condition.,,
EP-02,8.3,Verification of Accuracy and Repeatability,3,"8.3.1 Ensure the dispenser is clean and, if necessary, decontaminated.",,
EP-02,8.4,Cleaning of Micropipettes,4,"8.4.1 To clean micropipettes, use water/ethanol and a soft cloth or lint-free tissue.",,
EP-02,8.5,Maintenance of Micropipettes,5,8.5.1 Hold down the tip ejector.,,
EP-02,8.6,Troubleshooting,6,Trouble Possible Cause Possible Solution Unsuitable tip Use original tips Droplets left inside the tip Non-uniform wetting of the plastic Attach new tip Tip incorrectly attached Attach firmly Unsuitable tip Use original tip Foreign particle,FM EP02.01,
EP-03,8.1,General Requirements,1,Mercury thermometers are not allowed in the Laboratory unless they are coated with Teflon.,FM EP03.01,
EP-03,8.2,Intermediate Checks of Thermometers and Thermohygrometers,2,8.2.1 Preparation of Ice-Water Bath (Ice Melting Point Method – 0 °C) 8.2.2 Only place clean equipment and distilled water inside the container.,,
EP-03,8.3,Temperature Verification,3,8.3.1 Insert the thermometer into the ice.,,
EP-03,8.4,Thermohygrometer Verification,4,8.4.1 Check the thermohygrometer for any visual defect.,FM EP03.01,
EP-04,8.1,General Requirements,1,The measurement system shall be capable of performing a two-point calibration or more.,,Laboratory Manager
EP-04,8.2,pH Meter Calibration,2,8.2.1 Perform a two-point calibration with calibration buffers 7 plus 4 or 10 (whichever is nearest to the expected sample value).,FM EP04.01,
EP-04,8.3,pH Meter Operation,3,"8.3.1 All test samples should be prepared using Purified Water, unless otherwise specified in the test method.",FM EP04.01,
EP-05,8.1,General Requirements,1,Keep door(s) closed to prevent heat loss (incubators) and heat gain (refrigerators and freezers).,,
EP-05,8.2,Data Logging of Temperatures,2,"8.2.1 From the software of the datalogger, set the sampling every 60 minutes.",,
EP-05,8.3,Monitoring of Temperature in Water Baths,3,8.3.1 Use a calibrated thermometer to monitor temperature inside the water bath.,FM EP05.01,
EP-05,8.4,"Quality Control (Performance Checks) of Incubators, Refrigerators and Freezers",4,"8.4.1 Environmental parameters of incubators, refrigerators and freezers are monitored continually by using dataloggers.",,
EP-05,8.5,Quality Control (Performance Checks) of Water Baths or Equipment Monitored with Regular Thermometers,5,8.5.1 Fill the chamber with water.,FM EP05.02,
EP-05,8.6,Cleaning of Chambers,6,8.6.1 Disconnect the equipment before initiating the cleaning process.,FM LP03.01,
EP-06,8.1,Mobile Phase Preparation,1,Use only HPLC-grade or LC-MS-grade solvents for mobile phase preparation.,,
EP-06,8.2,Operation of HPLC Systems,2,Make sure the inline tubing and filters reach the bottom of the mobile phase bottles (previously filtered and degassed).,FM EP06.01,
EP-06,8.3,Creating a New Method,3,"To create a new method, click on method file menu, open “Edit Entire Method” displayed and click “OK”.",,
EP-06,8.4,Running a Sample,4,Open the ‘Method’ file and select “Load Method”.,,
EP-06,8.5,Setting Up a Sequence,5,"To create a new sequence, click on the Sequence file menu, then click “New Sequence”.",,
EP-06,8.6,Running Samples with Sequence,6,Place vials in the plate holder of auto-sampler.,,
EP-06,8.7,Post-run Cleaning,7,"Flushing-out salts After finishing an analysis with a buffer, it is important to flush the HPLC system thoroughly to remove any residual salts or compounds.",,
EP-06,8.8,Data Analysis,8,Open the HPLC Software icon on desktop.,,
EP-06,8.9,Shutting down the HPLC,9,"Turn off the modular pumps, detector, autosampler, and any other module, and close the HPLC Software.",,
EP-06,8.10,HPLC Intermediate Checks,10,Prepare the system suitability solution as directed in the applicable test method or analytical procedure.,FM EP06.02,
EP-06,8.11,Performance Maintenance Tasks,11,"Regular maintenance ensures optimum performance and uninterrupted, trouble-free operation.",,
LP-01,7.1,Safe Techniques and Practices,1,The Laboratory enforces the following safety rules: A.,,
